Surah,Arabic,English,Length,Page
Al-Fatihah,الفاتحة,The Opening,1,1
Al-Baqarah,البقرة,The Cow,48,2
Aale-Imran,آل عمران,The Family of Imran,27,50
An-Nisa,النساء,The Women,29,77
Al-Ma'idah,المائدة,The Table Spread,22,106
Al-An'am,الأنعام,The Cattle,23,128
Al-A'raf,الأعراف,The Heights,26,151
Al-Anfal,الأنفال,The Spoils of War,10,177
At-Tawbah,التوبة,The Repentance,21,187
Yunus,يونس,Yunus,13,208
Hud,هود,Hud,14,221
Yusuf,يوسف,Yusuf,14,235
Ar-Ra'd,الرعد,The Thunder,6,249
Ibrahim,إبراهيم,Abraham,7,255
Al-Hijr,الحجر,The Rocky Tract,5,262
An-Nahl,النحل,The Bee,15,267
Al-Isra,الإسراء,The Night Journey,11,282
Al-Kahf,الكهف,The Cave,12,293
Maryam,مريم,Mary,7,305
Ta-Ha,طه,Ta-Ha,10,312
Al-Anbiya,الأنبياء,The Prophets,10,322
Al-Hajj,الحج,The Pilgrimage,10,332
Al-Muminun,المؤمنون,The Believers,8,342
An-Nur,النور,The Light,9,350
Al-Furqan,الفرقان,The Criterion,8,359
Ash-Shu'ara',الشعراء,The Poets,10,367
An-Naml,النمل,The Ant,8,377
Al-Qasas,القصص,The Stories,11,385
Al-Ankabut,العنكبوت,The Spider,8,396
Ar-Rum,الروم,The Romans,7,404
Luqman,لقمان,Luqman,4,411
As-Sajdah,السجدة,The Prostration,3,415
Al-Ahzab,الأحزاب,The Combined Forces,10,418
Saba,سبأ,Sheba,6,428
Fatir,فاطر,The Originator,6,434
Yaseen,يس,Ya Sin,6,440
As-Saffat,الصافات,Those who set the Ranks,7,446
Saad,ص,Saad,5,453
Az-Zumar,الزمر,The Throngs,9,458
Al-Ghafir,غافر,The Forgiver,10,467
Fussilat,فصلت,Explained in Detail,6,477
Ash-Shura,الشورى,The Consultation,6,483
Az-Zukhruf,الزخرف,The Gold Adornments,7,489
Ad-Dukhan,الدخان,The Smoke,3,496
Al-Jathiyah,الجاثية,The Crouching,3,499
Al-Ahqaf,الأحقاف,The Wind-Curved Sandhills,5,502
Muhammad,محمد,Muhammad,4,507
Al-Fath,الفتح,The Victory,4,511
Al-Hujurat,الحجرات,The Rooms,3,515
Qaf,ق,Qaf,2,518
Adh-Dhariyat,الذاريات,The Winnowing Winds,3,520
At-Tur,الطور,The Mount,3,523
An-Najm,النجم,The Star,2,526
Al-Qamar,القمر,The Moon,3,528
Ar-Rahman,الرحمن,The Beneficent,3,531
Al-Waqi'ah,الواقعة,The Inevitable,3,534
Al-Hadid,الحديد,The Iron,5,537
Al-Mujadila,المجادلة,The Pleading Woman,3,542
Al-Hashr,الحشر,The Exile,4,545
Al-Mumtahina,الممتحنة,She that is to be examined,2,549
As-Saff,الصف,The Ranks,2,551
Al-Jumu'ah,الجمعة,The Congregation,1,553
Al-Munafiqun,المنافقون,The Hypocrites,2,554
At-Taghabun,التغابن,The Mutual Disillusion,2,556
At-Talaq,الطلاق,The Divorce,2,558
At-Tahrim,التحريم,The Prohibition,2,560
Al-Mulk,الملك,The Sovereignty,2,562
Al-Qalam,القلم,The Pen,2,564
Al-Haaqqa,الحاقة,The Reality,2,566
Al-Ma'arij,المعارج,The Ascending Stairways,2,568
Nuh,نوح,Noah,2,570
Al-Jinn,الجن,The Jinn,2,572
Al-Muzzammil,المزمل,The Enshrouded One,1,574
Al-Muddathir,المدثر,The Cloaked One,2,575
Al-Qiyamah,القيامة,The Resurrection,1,577
Al-Insan,الإنسان,Man,2,578
Al-Mursalat,المرسلات,The Emissaries,2,580
An-Naba,النبأ,The Tidings,1,582
An-Nazi'at,النازعات,Those who drag forth,2,583
'Abasa,عبس,He frowned,1,585
At-Takwir,التكوير,The Overthrowing,1,586
Al-Infitar,الإنفطار,The Cleaving,0.5,587
Al-Mutaffifin,المطففين,Defrauding,2,587
Al-Inshiqaq,الانشقاق,The Splitting Open,1,589
Al-Buruj,البروج,The Mansions of the Stars,1,590
At-Tariq,الطارق,The Morning Star,0.5,591
Al-Ala,الأعلى,The Most High,1,591
Al-Ghashiyah,الغاشية,The Overwhelming,1,592
Al-Fajr,الفجر,The Dawn,1,593
Al-Balad,البلد,The City,1,594
Ash-Shams,الشمس,The Sun,0.5,595
Al-Lail,الليل,The Night,1,595
Ad-Duhaa,الضحى,The Morning Hours,0.5,596
Ash-Sharh,الشرح,The Relief,1,596
At-Tin,التين,The Fig,0.5,597
Al-Alaq,العلق,The Clot,1,597
Al-Qadr,القدر,The Power,0.5,598
Al-Bayyina,البينة,The Clear Proof,1,598
Az-Zalzala,الزلزلة,The Earthquake,0.5,599
Al-Adiyat,العاديات,The Courser,1,599
Al-Qari'ah,القارعة,The Calamity,0.5,600
At-Takathur,التكاثر,Rivalry in world increase,1,600
Al-Asr,العصر,The Declining Day,0.33,601
Al-Humazah,الهمزة,The Traducer,0.33,601
Al-Fil,الفيل,The Elephant,0.33,601
Quraish,قريش,Quraish,0.33,602
Al-Ma'un,الماعون,The Small Kindnesses,0.33,602
Al-Kawthar,الكوثر,Abundance,0.33,602
Al-Kafirun,الكافرون,The Disbelievers,0.33,603
An-Nasr,النصر,The Divine Support,0.33,603
Al-Masad,المسد,The Palm Fiber,0.33,603
Al-Ikhlas,الإخلاص,Sincerity,0.33,604
Al-Falaq,الفلق,The Daybreak,0.33,604
An-Nas,الناس,Mankind,0.33,604
